timestamp,pleth
2020-01-01 12:00:02.712,1386
2020-01-01 12:00:02.720,1526
2020-01-01 12:00:02.728,1692
2020-01-01 12:00:02.736,1878
2020-01-01 12:00:02.744,2051
2020-01-01 12:00:02.752,2217
2020-01-01 12:00:02.760,2405
2020-01-01 12:00:02.768,2599
2020-01-01 12:00:02.776,2789
2020-01-01 12:00:02.784,2967
2020-01-01 12:00:02.792,3129
2020-01-01 12:00:02.800,3275
2020-01-01 12:00:02.808,3404
2020-01-01 12:00:02.816,3517
2020-01-01 12:00:02.824,3614
2020-01-01 12:00:02.832,3697
2020-01-01 12:00:02.840,3766
2020-01-01 12:00:02.848,3812
2020-01-01 12:00:02.856,3843
2020-01-01 12:00:02.864,3876
2020-01-01 12:00:02.872,3906
2020-01-01 12:00:02.880,3929
2020-01-01 12:00:02.888,3942
2020-01-01 12:00:02.896,3945
2020-01-01 12:00:02.904,3938
2020-01-01 12:00:02.912,3922
2020-01-01 12:00:02.920,3894
2020-01-01 12:00:02.928,3853
2020-01-01 12:00:02.936,3798
2020-01-01 12:00:02.944,3735
2020-01-01 12:00:02.952,3664
2020-01-01 12:00:02.960,3582
2020-01-01 12:00:02.968,3491
2020-01-01 12:00:02.976,3397
2020-01-01 12:00:02.984,3303
2020-01-01 12:00:02.992,3212
2020-01-01 12:00:03.000,3126
2020-01-01 12:00:03.008,3048
2020-01-01 12:00:03.016,2980
2020-01-01 12:00:03.024,2919
2020-01-01 12:00:03.032,2865
2020-01-01 12:00:03.040,2818
2020-01-01 12:00:03.048,2777
2020-01-01 12:00:03.056,2740
2020-01-01 12:00:03.064,2705
2020-01-01 12:00:03.072,2669
2020-01-01 12:00:03.080,2633
2020-01-01 12:00:03.088,2597
2020-01-01 12:00:03.096,2560
2020-01-01 12:00:03.104,2522
2020-01-01 12:00:03.112,2484
2020-01-01 12:00:03.120,2447
2020-01-01 12:00:03.128,2410
2020-01-01 12:00:03.136,2372
2020-01-01 12:00:03.144,2339
2020-01-01 12:00:03.152,2309
2020-01-01 12:00:03.160,2275
2020-01-01 12:00:03.168,2241
2020-01-01 12:00:03.176,2208
2020-01-01 12:00:03.184,2175
2020-01-01 12:00:03.192,2144
2020-01-01 12:00:03.200,2114
2020-01-01 12:00:03.208,2086
2020-01-01 12:00:03.216,2059
2020-01-01 12:00:03.224,2034
2020-01-01 12:00:03.232,2008
2020-01-01 12:00:03.240,1985
2020-01-01 12:00:03.248,1964
2020-01-01 12:00:03.256,1940
2020-01-01 12:00:03.264,1914
2020-01-01 12:00:03.272,1888
2020-01-01 12:00:03.280,1864
2020-01-01 12:00:03.288,1841
2020-01-01 12:00:03.296,1820
2020-01-01 12:00:03.304,1800
2020-01-01 12:00:03.312,1780
2020-01-01 12:00:03.320,1761
2020-01-01 12:00:03.328,1743
2020-01-01 12:00:03.336,1725
2020-01-01 12:00:03.344,1711
2020-01-01 12:00:03.352,1700
